Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
10,13-04-2011,"DY Patil Stadium, Mumbai",Kochi Tuskers Kerala,Pune Warriors India,Kochi Tuskers Kerala,Bat,Group,148.0,8.0,151.0,6.0,Pune Warriors India,Wickets,4.0,Mohnish Mishra
11,14-04-2011,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,175.0,5.0,142.0,9.0,Deccan Chargers,Runs,33.0,Dale Steyn
12,15-04-2011,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,159.0,4.0,160.0,1.0,Kolkata Knight Riders,Wickets,9.0,Gautam Gambhir
13,15-04-2011,"Wankhede Stadium, Mumbai",Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Group,182.0,2.0,184.0,2.0,Kochi Tuskers Kerala,Wickets,8.0,Brendon McCullum
14,16-04-2011,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Bat,Group,183.0,5.0,162.0,7.0,Chennai Super Kings,Runs,21.0,Michael Hussey
15,16-04-2011,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Field,Group,165.0,8.0,166.0,2.0,Kings XI Punjab,Wickets,8.0,Paul Valthaty
16,17-04-2011,"DY Patil Stadium, Mumbai",Pune Warriors India,Delhi Daredevils,Delhi Daredevils,Field,Group,187.0,5.0,190.0,7.0,Delhi Daredevils,Wickets,3.0,Yuvraj Singh
17,17-04-2011,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,81.0,10.0,85.0,2.0,Kolkata Knight Riders,Wickets,8.0,Lakshmipathy Balaji
18,18-04-2011,"Jawaharlal Nehru Stadium, Kochi",Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Group,131.0,4.0,135.0,3.0,Kochi Tuskers Kerala,Wickets,7.0,Brendon McCullum
19,19-04-2011,"Feroz Shah Kotla, Delhi",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,168.0,4.0,152.0,7.0,Deccan Chargers,Runs,16.0,Sunny Sohal
20,19-04-2011,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Rajasthan Royals,,,,,,,,,,,
21,20-04-2011,"Wankhede Stadium, Mumbai",Pune Warriors India,Mumbai Indians,Pune Warriors India,Bat,Group,118.0,10.0,124.0,3.0,Mumbai Indians,Wicket,7.0,Munaf Patel
22,20-04-2011,"Eden Gardens, Kolkata",Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,132.0,7.0,126.0,9.0,Kochi Tuskers Kerala,Runs,6.0,Mahela Jayawardene
23,21-04-2011,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Group,195.0,7.0,147.0,7.0,Kings XI Punjab,Runs,48.0,Shaun Marsh
24,22-04-2011,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,171.0,5.0,175.0,1.0,Royal Challengers Bangalore,Wickets,9.0,Chris Gayle
25,22-04-2011,"Wankhede Stadium, Mumbai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Group,164.0,4.0,156.0,9.0,Mumbai Indians,Runs,8.0,Harbhajan Singh
26,23-04-2011,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Field,Group,231.0,4.0,202.0,6.0,Delhi Daredevils,Runs,29.0,David Warner
27,24-04-2011,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Mumbai Indians,Deccan Chargers,Deccan Chargers,Field,Group,172.0,4.0,135.0,8.0,Mumbai Indians,Runs,37.0,Lasith Malinga
28,24-04-2011,"Sawai Mansingh Stadium, Jaipur",Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,Field,Group,109.0,10.0,111.0,2.0,Rajasthan Royals,Wickets,8.0,Shane Warne
